name,gender,game_id,age_range,playable,sexualization,id,species,side,relevance,romantic_interest
Hosea Matthews,Male,RDR2,Middle-aged,0,0,RDR2_Hosea,Human,P,MC,No
Jack Marston,Male,RDR2,Infant,0,0,RDR2_Jack,Human,P,SC,No
Javier Escuella,Male,RDR2,Middle-aged,0,0,RDR2_Javier,Human,P,SC,No
Josiah Trelawney,Male,RDR2,Adult,0,0,RDR2_Josiah,Human,P,SC,No
Kieran Duffy,Male,RDR2,Adult,0,0,RDR2_Kieran,Human,P,SC,No
Lenny Summers,Male,RDR2,Young adult,0,0,RDR2_Lenny,Human,P,SC,No
Leopold Strauss,Male,RDR2,Middle-aged,0,0,RDR2_Leopold,Human,P,SC,No
Micah Bell,Male,RDR2,Adult,0,0,RDR2_Micah,Human,B,MC,No
Mr.Pearson,Male,RDR2,Middle-aged,0,0,RDR2_Mr.Pearson,Human,P,SC,No
Swanson Reverend,Male,RDR2,Middle-aged,0,0,RDR2_Swanson,Human,P,SC,No
Sean McGuire,Male,RDR2,Young adult,0,0,RDR2_Sean,Human,P,SC,No
Uncle,Male,RDR2,Middle-aged,0,0,RDR2_Uncle,Human,P,SC,No
Cornwall,Male,RDR2,Middle-aged,0,0,RDR2_Cornwall,Human,A,MA,No
Mario,Male,SMO,Adult,1,0,SMO_Mario,Human,P,PA,No
Cappy,Male,SMO,Unknown,1,0,SMO_Cappy,Animated Object,P,SK,No
Bowser,Male,SMO,Unknown,0,0,SMO_Bowser,Humanoid,A,MA,No
Link,Male,BOTW,Teenager,1,0,BOTW_Link,Human,P,PA,No
Daruk,Male,BOTW,Middle-aged,0,0,BOTW_Daruk,Humanoid,P,MC,No
Revali,Male,BOTW,Young adult,0,0,BOTW_Revali,Humanoid,P,MC,No
Rhoam,Male,BOTW,Middle-aged,0,0,BOTW_Rhoam,Human,P,MC,No
Yunobo,Male,BOTW,Teenager,0,0,BOTW_Yunobo,Humanoid,P,SC,No
Sidon,Male,BOTW,Young adult,0,0,BOTW_Sidon,Humanoid,P,SC,No
Teba,Male,BOTW,Adult,0,0,BOTW_Teba,Humanoid,P,SC,No
Bludo,Male,BOTW,Adult,0,0,BOTW_Bludo,Humanoid,P,SC,No
Dorephan,Male,BOTW,Elderly,0,0,BOTW_Dorephan,Humanoid,P,SC,No
Kaneli,Male,BOTW,Elderly,0,0,BOTW_Kaneli,Humanoid,P,SC,No
Kohga,Male,BOTW,Adult,0,0,BOTW_Kohga,Humanoid,A,SC,No
DekuTree,Male,BOTW,Elderly,0,0,BOTW_DekuTree,Animated Plant,P,SC,No
Ganon,Male,BOTW,Unknown,0,0,BOTW_Ganon,Creature,A,MA,No
Hau,Male,PSM,Child,0,0,PSM_Hau,Human,P,MC,No
Professor Kukui,Male,PSM,Adult,0,0,PSM_Professor,Human,P,SC,No
Guzma,Male,PSM,Adult,0,0,PSM_Guzma,Human,A,MC,No
Gladion,Male,PSM,Teenager,0,0,PSM_Gladion,Human,A,SC,No
Geralt,Male,TW3,Adult,1,2,TW3_Geralt,Human,P,PA,No
Emhyr,Male,TW3,Adult,0,0,TW3_Emhyr,Human,A,SC,No
Dandelion,Male,TW3,Adult,0,0,TW3_Dandelion,Human,P,SC,No
Avallac'h,Male,TW3,Adult,0,0,TW3_Avallac'h,Human,B,MC,No
Sigismund Dijkstra,Male,TW3,Adult,0,0,TW3_Sigismund,Human,B,SC,No
Baron Bloody,Male,TW3,Adult,0,0,TW3_Baron,Human,B,SC,No
Eredin,Male,TW3,Unknown,0,0,TW3_Eredin,Human,A,MA,No
Vesemir,Male,TW3,Adult,0,0,TW3_Vesemir,Human,B,SC,No
Zoltan,Male,TW3,Adult,0,0,TW3_Zoltan,Human,P,SC,No
Regis,Male,TW3,Adult,0,0,TW3_Regis,Human,P,SC,No
Lambert,Male,TW3,Adult,0,0,TW3_Lambert,Human,P,SC,No
Whoreson Junior,Male,TW3,Adult,0,0,TW3_Whoreson,Human,A,SC,No
WildHunt,Male,TW3,Adult,0,0,TW3_WildHunt,Human,A,MA,No
Alex Mason,Male,CODBO2,Adult,1,0,CODBO2_Alex,Human,P,PA,No
Raul Mendez,Male,CODBO2,Adult,0,0,CODBO2_Raul,Human,A,MA,No
Frank Woods,Male,CODBO2,Adult,0,0,CODBO2_Frank,Human,P,MC,No
Jason Hudson,Male,CODBO2,Adult,0,0,CODBO2_Jason,Human,P,MC,No
Thomas Briggs,Male,CODBO2,Middle-aged,0,0,CODBO2_Thomas,Human,P,SC,No
David Mason,Male,CODBO2,Adult,1,0,CODBO2_David,Human,P,PA,No
Jonas Savimbi,Male,CODBO2,Adult,0,0,CODBO2_Jonas,Human,P,SC,No
Lev Kravchenko,Male,CODBO2,Adult,0,0,CODBO2_Lev,Human,A,SC,No
Mike Harper,Male,CODBO2,Adult,0,0,CODBO2_Mike,Human,P,SC,No
Viktor Reznov,Male,CODBO2,Adult,0,0,CODBO2_Viktor,Human,A,SC,No
Tian Zhao,Male,CODBO2,Adult,0,0,CODBO2_Tian,Human,P,SC,No
Farid,Male,CODBO2,Adult,0,0,CODBO2_Farid,Human,B,SC,No
Axton,Male,BL2,Adult,1,0,BL2_Axton,Human,P,PA,No
Salvador,Male,BL2,Adult,1,0,BL2_Salvador,Human,P,PA,No
Zer0,Male,BL2,Unknown,1,0,BL2_Zer0,Humanoid,P,PA,No
Roland,Male,BL2,Adult,0,0,BL2_Roland,Human,P,MC,No
Brick,Male,BL2,Adult,0,0,BL2_Brick,Human,P,SC,No
Mordecai,Male,BL2,Adult,0,0,BL2_Mordecai,Human,P,SC,No
Handsome Jack,Male,BL2,Adult,0,0,BL2_Handsome,Human,A,MA,No
Wilhelm,Male,BL2,Adult,0,0,BL2_Wilhelm,Human,A,SC,No
Lee Everett,Male,TWD,Adult,1,0,TWD_Lee,Human,P,PA,No
Hershel Greene,Male,TWD,Middle-aged,0,0,TWD_Hershel,Human,B,SC,No
Kenny,Male,TWD,Middle-aged,0,0,TWD_Kenny,Human,P,MC,No
Duck,Male,TWD,Child,0,0,TWD_Duck,Human,P,SC,No
Glenn,Male,TWD,Young adult,0,0,TWD_Glenn,Human,P,SC,No
Larry,Male,TWD,Elderly,0,0,TWD_Larry,Human,B,SC,No
Mark,Male,TWD,Adult,0,0,TWD_Mark,Human,P,SC,No
Ben,Male,TWD,Young adult,0,0,TWD_Ben,Human,P,MC,No
Andrew,Male,TWD,Adult,0,0,TWD_Andrew,Human,A,SC,No
Danny,Male,TWD,Adult,0,0,TWD_Danny,Human,A,SC,No
Chuck,Male,TWD,Middle-aged,0,0,TWD_Chuck,Human,P,SC,No
Vernon,Male,TWD,Elderly,0,0,TWD_Vernon,Human,P,SC,No
Omid,Male,TWD,Adult,0,0,TWD_Omid,Human,P,SC,No
Campman,Male,TWD,Adult,0,0,TWD_Campman,Human,A,MA,No
Kratos,Male,GOW,Adult,1,0,GOW_Kratos,Human,P,PA,No
Atreus,Male,GOW,Child,0,0,GOW_Atreus,Human,P,DA,No
Baldur,Male,GOW,Adult,0,0,GOW_Baldur,Human,A,MA,No
Modi,Male,GOW,Adult,0,0,GOW_Modi,Human,A,SC,No
Magni,Male,GOW,Adult,0,0,GOW_Magni,Human,A,SC,No
Mimir,Male,GOW,Adult,0,0,GOW_Mimir,Humanoid,P,MC,No
Nate,Male,UC4,Adult,1,0,UC4_Nate,Human,P,PA,No
Sully,Male,UC4,Elderly,0,0,UC4_Sully,Human,P,MC,No
Sam,Male,UC4,Adult,0,0,UC4_Sam,Human,P,SK,No
Rafe Adler,Male,UC4,Adult,0,0,UC4_Rafe,Human,A,MA,No
Protagonist,Male,INS,Child,1,0,INS_Protagonist,Human,P,PA,No
CEO,Male,INS,Adult,0,0,INS_CEO,Human,A,MA,No
Flowey,Male,UT,Unknown,0,0,UT_Flowey,Animated Plant,B,MC,No
Sans,Male,UT,Unknown,0,0,UT_Sans,Humanoid,P,MC,No
Papyrus,Male,UT,Adult,0,0,UT_Papyrus,Humanoid,P,MC,No
Mettaton,Male,UT,Unknown,0,0,UT_Mettaton,Humanoid,B,MC,No
Asgore Dreemurr,Male,UT,Adult,0,0,UT_Asgore,Humanoid,A,MC,No
Asriel,Male,UT,Child,0,0,UT_Asriel,Humanoid,B,MC,No
Doll,Female,BB,Unknown,0,0,BB_Doll,Humanoid,P,SC,No
Gahrman,Male,BB,Elderly,0,0,BB_Gahrman,Human,B,MC,No
Gascoigne,Male,BB,Unknown,0,0,BB_Gascoigne,Human,A,SC,No
Micolash,Male,BB,Unknown,0,0,BB_Micolash,Human,A,MA,No
Shovel Knight,Male,SK,Adult,1,0,SK_Shovel,Human,P,PA,No
Black Knight,Male,SK,Adult,0,0,SK_Black,Human,A,MC,No
Enchantress,Female,SK,Adult,0,0,SK_Enchantress,Humanoid,A,MA,No
King Knight,Male,SK,Adult,0,0,SK_King,Human,A,SC,No
Specter Knight,Male,SK,Adult,0,0,SK_Specter,Human,A,SC,No
Plague Knight,Male,SK,Adult,0,0,SK_Plague,Humanoid,A,SC,No
Treasure Knight,Male,SK,Adult,0,0,SK_Treasure,Human,A,SC,No
Mole Knight,Male,SK,Adult,0,0,SK_Mole,Human,A,SC,No
Tinked Knight,Male,SK,Adult,0,0,SK_Tinked,Human,A,SC,No
Polar Knight,Male,SK,Adult,0,0,SK_Polar,Human,A,SC,No
Propeller Knight,Male,SK,Adult,0,0,SK_Propeller,Human,A,SC,No
Inspector,Male,PP,Adult,1,0,PP_Inspector,Human,P,PA,No
Jorji Costava,Male,PP,Adult,0,0,PP_Jorji,Human,B,MC,No
Wife,Female,PP,Adult,0,1,PP_Wife,Human,P,SC,Yes
Son,Male,PP,Child,0,1,PP_Son,Human,P,SC,No
Mother-in-law,Female,PP,Elderly,0,1,PP_Mother-in-law,Human,P,SC,No
Uncle,Male,PP,Elderly,0,1,PP_Uncle,Human,P,SC,No
Joel,Male,TLOU,Middle-aged,1,0,TLOU_Joel,Human,P,PA,No
Tess,Female,TLOU,Adult,0,0,TLOU_Tess,Human,P,SC,No
Marlene,Female,TLOU,Adult,0,0,TLOU_Marlene,Human,A,MC,No
Tommy,Male,TLOU,Middle-aged,0,0,TLOU_Tommy,Human,P,SC,No
Bill,Male,TLOU,Middle-aged,0,0,TLOU_Bill,Human,P,SC,No
Henry,Male,TLOU,Adult,0,0,TLOU_Henry,Human,P,SC,No
Sam,Male,TLOU,Child,0,0,TLOU_Sam,Human,P,SC,No
David,Male,TLOU,Adult,0,0,TLOU_David,Human,A,SC,No
Booker,Male,BSI,Adult,1,0,BSI_Booker,Human,P,PA,No
Songbird,Non-binary,BSI,Unknown,0,0,BSI_Songbird,Robot,B,MC,No
Comstock,Male,BSI,Adult,0,0,BSI_Comstock,Human,A,MA,No
Robert Lutece,Male,BSI,Adult,0,0,BSI_Robert,Human,B,MC,No
Rosalind Lutece,Female,BSI,Adult,0,0,BSI_Rosalind,Human,B,MC,No
Daisy Fitzroy,Female,BSI,Adult,0,0,BSI_Daisy,Human,B,SC,No
Jacket,Male,HLM,Adult,1,0,HLM_Jacket,Human,B,PA,No
Biker,Male,HLM,Adult,1,0,HLM_Biker,Human,B,PA,No
Girlfriend,Female,HLM,Adult,0,2,HLM_Girlfriend,Human,P,SC,Yes
Richard,Male,HLM,Adult,0,0,HLM_Richard,Human,B,SC,No
Rasmus,Male,HLM,Adult,0,0,HLM_Rasmus,Human,B,SC,No
DonJuan,Female,HLM,Adult,0,0,HLM_DonJuan,Human,B,SC,No
Beard,Male,HLM,Adult,0,0,HLM_Beard,Human,P,MC,No
Dennis Janitor,Male,HLM,Adult,0,0,HLM_Dennis,Human,A,SC,No
Jonatan Janitor,Male,HLM,Adult,0,0,HLM_Jonatan,Human,A,SC,No
Richter,Male,HLM,Adult,0,0,HLM_Richter,Human,A,SC,No
Ancestor,Non-binary,JRN,Unknown,0,0,JRN_Ancestor,Humanoid,P,SC,No
Companions,Non-binary,JRN,Unknown,0,0,JRN_Companions,Humanoid,P,SC,No
War Machines,Non-binary,JRN,Unknown,0,0,JRN_War,Robot,A,MA,No
Jason Brody,Male,FC3,Adult,1,0,FC3_Jason,Human,P,PA,No
Vaas Montenegro,Male,FC3,Adult,0,0,FC3_Vaas,Human,P,MA,No
Grant,Male,FC3,Adult,0,0,FC3_Grant,Human,P,SC,No
Dennis,Male,FC3,Adult,0,0,FC3_Dennis,Human,B,SC,No
Daisy Fitzroy,Female,FC3,Adult,0,0,FC3_Daisy,Human,P,SC,No
Dr.Earnhardt,Male,FC3,Elderly,0,0,FC3_Dr.Earnhardt,Human,B,SC,No
Citra Taulgami,Female,FC3,Adult,0,3,FC3_Citra,Human,B,MC,Yes
Willis Huntley,Male,FC3,Elderly,0,0,FC3_Willis,Human,P,SC,No
Liza,Female,FC3,Young adult,0,1,FC3_Liza,Human,P,SC,Yes
Keith,Male,FC3,Young adult,0,0,FC3_Keith,Human,P,SC,No
Oliver,Male,FC3,Young adult,0,0,FC3_Oliver,Human,P,SC,No
Hoyt Volker,Male,FC3,Middle-aged,0,0,FC3_Hoyt,Human,A,MA,No
Sam Becker,Male,FC3,Middle-aged,0,0,FC3_Sam,Human,P,SC,No
Riley,Male,FC3,Young adult,0,0,FC3_Riley,Human,P,SC,No
Joker,Male,PSN5,Teenager,1,0,PSN5_Joker,Human,P,PA,No
Igor,Male,PSN5,Unknown,0,0,PSN5_Igor,Human,P,MC,No
Ryuji Sakamoto,Male,PSN5,Teenager,1,0,PSN5_Ryuji,Human,P,DA,No
Kamoshida,Male,PSN5,Adult,0,0,PSN5_Kamoshida,Human,A,SC,No
Morgana,Female,PSN5,Teenager,1,0,PSN5_Morgana,Humanoid-Animal,P,SK,No
Goro Akechi,Male,PSN5,Young adult,1,0,PSN5_Goro,Human,B,MC,No
Shido,Male,PSN5,Middle-aged,0,0,PSN5_Shido,Human,A,MA,No
Lavenza,Female,PSN5,Unknown,0,0,PSN5_Lavenza,Human,B,SC,No
Sojiro Sakura,Male,PSN5,Middle-aged,0,0,PSN5_Sojiro,Human,P,SC,No
Ann Takamaki,Female,PSN5,Teenager,1,2,PSN5_Ann,Human,P,DA,Opt
Shiho,Female,PSN5,Teenager,0,1,PSN5_Shiho,Human,P,SC,No
Yusuke Kitagawa,Male,PSN5,Teenager,1,0,PSN5_Yusuke,Human,P,MC,No
Makoto Nijima,Female,PSN5,Teenager,1,0,PSN5_Makoto,Human,P,MC,Opt
Sae Nijima,Female,PSN5,Young adult,0,0,PSN5_Sae,Human,B,MC,No
Futaba Sakura,Female,PSN5,Teenager,0,0,PSN5_Futaba,Human,P,MC,Opt
Haru Okumura,Female,PSN5,Teenager,1,0,PSN5_Haru,Human,P,MC,Opt
Madarame,Male,PSN5,Middle-aged,0,0,PSN5_Madarame,Human,A,SC,No
Kaneshiro,Male,PSN5,Adult,0,0,PSN5_Kaneshiro,Human,A,SC,No
Fox,Non-binary,TN,Unknown,1,0,TN_Fox,Humanoid-Animal,P,PA,No
Heir,Non-binary,TN,Unknown,0,0,TN_Heir,Humanoid-Animal,A,MA,No
Tarnished,Custom,ER,Adult,1,0,ER_Tarnished,Human,P,PA,No
Melina,Female,ER,Adult,0,0,ER_Melina,Human,P,SK,No
Finger Reader Enia,Female,ER,Unknown,0,0,ER_Finger,Humanoid,P,SC,No
Queen Marika,Female,ER,Adult,0,0,ER_Queen,Human,A,MA,No
Two Fingers,Non-binary,ER,Unknown,0,0,ER_Two,Creature,P,SC,No
Morgott,Male,ER,Adult,0,0,ER_Morgott,Creature,A,SC,No
Maliketh,Male,ER,Adult,0,0,ER_Maliketh,Creature,A,SC,No
Radagon,Male,ER,Adult,0,0,ER_Radagon,Human,A,SC,No
Elden Beast,Non-binary,ER,Unknown,0,0,ER_Elden,Creature,A,SC,No
Ranni the Witch,Female,ER,Adult,0,0,ER_Ranni,Humanoid,P,MC,Yes
Miriel,Male,ER,Adult,0,0,ER_Miriel,Animal,P,SC,No
Fia,Female,ER,Adult,0,0,ER_Fia,Humanoid,P,SC,No
Radhan,Male,ER,Adult,0,0,ER_Radhan,Creature,A,SC,No
Rykard,Male,ER,Adult,0,0,ER_Rykard,Creature,A,SC,No
Blaidd,Male,ER,Adult,0,0,ER_Blaidd,Humanoid,P,SC,No
Malenia,Female,ER,Adult,0,0,ER_Malenia,Human,P,SC,No
Godwyn,Male,ER,Adult,0,0,ER_Godwyn,Human,A,SC,No
Mohg,Male,ER,Adult,0,0,ER_Mohg,Creature,A,SC,No
Miquella,Male,ER,Adult,0,0,ER_Miquella,Human,A,SC,No
Stanley,Male,TSPUD,Adult,1,0,TSPUD_Stanley,Human,P,PA,No
Narrator,Male,TSPUD,Unknown,0,0,TSPUD_Narrator,Unknown,A,MA,No
White,Male,NW,Adult,1,0,NW_White,Human,P,PA,No
Mikey,Male,NW,Unknown,0,0,NW_Mikey,Humanoid-Animal,P,MC,No
Green,Male,NW,Adult,0,0,NW_Green,Human,A,MA,No
Believers,Non-binary,NW,Unknown,0,0,NW_Believers,Human,A,MC,No
Red,Female,NW,Adult,0,1,NW_Red,Human,P,MC,Yes
Violet,Female,NW,Adult,0,2,NW_Violet,Human,B,MC,No
Yellow,Male,NW,Adult,0,0,NW_Yellow,Human,P,MC,No
Raz,Male,NW,Unknown,0,0,NW_Raz,Humanoid-Animal,P,SC,No
Gabby,Female,NW,Unknown,0,0,NW_Gabby,Humanoid-Animal,P,SC,No
Cuphead,Male,CH,Unknown,1,0,CH_Cuphead,Animated Object,P,PA,No
Mugman,Male,CH,Unknown,1,0,CH_Mugman,Animated Object,P,PA,No
Elder Kettle,Male,CH,Unknown,0,0,CH_Elder,Animated Object,P,SC,No
Devil,Male,CH,Unknown,0,0,CH_Devil,Humanoid,A,MA,No
King Dice,Male,CH,Unknown,0,0,CH_King,Animated Object,A,SC,No
Porkrind,Male,CH,Unknown,0,0,CH_Porkrind,Humanoid-Animal,P,SC,No
Chalice the Legendary,Female,CH,Unknown,0,1,CH_Chalice,Animated Object,P,SC,No
Colt Vahn,Male,DL,Adult,1,0,DL_Colt,Human,P,PA,No
Juliana,Female,DL,Adult,0,0,DL_Juliana,Human,B,MA,No
Fia,Female,DL,Adult,0,0,DL_Fia,Human,A,MC,No
Egor,Male,DL,Adult,0,0,DL_Egor,Human,A,MC,No
Frank,Male,DL,Adult,0,0,DL_Frank,Human,A,MC,No
Wenjie,Female,DL,Adult,0,0,DL_Wenjie,Human,A,MC,No
Charlie,Male,DL,Adult,0,0,DL_Charlie,Human,A,MC,No
Harriet,Female,DL,Adult,0,0,DL_Harriet,Human,A,MC,No
Aleksis,Male,DL,Adult,0,0,DL_Aleksis,Human,A,MC,No
2B,Female,NRA,Young adult,1,1,NRA_2B,Android-Robot,P,PA,No
9S,Male,NRA,Young adult,1,0,NRA_9S,Android-Robot,P,DA,No
A2,Female,NRA,Young adult,1,1,NRA_A2,Android-Robot,B,DA,No
Pods,Non-binary,NRA,Unknown,0,0,NRA_Pods,Robot,P,SK,No
Adam,Male,NRA,Adult,0,0,NRA_Adam,Android-Robot,A,MC,No
Eve,Male,NRA,Adult,0,1,NRA_Eve,Android-Robot,A,MC,No
Red Girls,Female,NRA,Teenager,0,0,NRA_Red,Android-Robot,A,MC,No
Commander,Female,NRA,Adult,0,0,NRA_Commander,Android-Robot,P,MC,No
Anemone,Female,NRA,Adult,0,0,NRA_Anemone,Android-Robot,P,SC,No
Pascal,Male,NRA,Unknown,0,0,NRA_Pascal,Robot,P,SC,No
Devola,Female,NRA,Adult,0,0,NRA_Devola,Android-Robot,P,MC,No
Popola,Female,NRA,Adult,0,0,NRA_Popola,Android-Robot,P,MC,No
Emil,Male,NRA,Child,0,0,NRA_Emil,Human,P,SC,No
Cal,Male,IWATE,Teenager,0,0,IWATE_Cal,Human,P,MC,Opt
Anemone,Female,IWATE,Teenager,0,0,IWATE_Anemone,Human,P,MC,Opt
Dys,Male,IWATE,Teenager,0,0,IWATE_Dys,Human,P,MC,Opt
Marz,Female,IWATE,Teenager,0,0,IWATE_Marz,Human,P,MC,Opt
Rex,Male,IWATE,Teenager,0,0,IWATE_Rex,Human,P,MC,Opt
Tangent,Female,IWATE,Teenager,0,0,IWATE_Tangent,Human,P,MC,Opt
Vace,Male,IWATE,Teenager,0,0,IWATE_Vace,Human,P,MC,Opt
